id_base_site	id_base_visit	altitude	longitude	latitude	cd_nom	base_site_name	species	visit_date	visit_year	visit_month	pheno_etape	Percentage	fruits_amount	Region	day_of_year
14965	205835	840.0	6.771006	45.931491	85903	Bouleau_milieu	bouleau	2024-03-29	2024	3	Floraison	10.0		Mont-Blanc Massif	89
14003	205836	830.0	6.7707	45.93186	85903	Bouleau_Epicea	bouleau	2024-03-31	2024	3	Débourrement	10.0		Mont-Blanc Massif	91
14004	205967	850.0	6.771044	45.931244	85903	Bouleau_haut	bouleau	2024-04-02	2024	4	Débourrement	10.0		Mont-Blanc Massif	93
14004	205969	850.0	6.771044	45.931244	85903	Bouleau_haut	bouleau	2024-04-05	2024	4	Floraison	10.0		Mont-Blanc Massif	96
14965	205970	840.0	6.771006	45.931491	85903	Bouleau_milieu	bouleau	2024-04-05	2024	4	Feuillaison	10.0		Mont-Blanc Massif	96
13805	205973	820.0	6.76827	45.931047	98921	Frene1	frêne	2024-04-05	2024	4	Floraison	10.0		Mont-Blanc Massif	96
13926	205975	820.0	6.76768	45.931326	125391	Lilas2		2024-03-28	2024	3	Feuillaison	10.0		Mont-Blanc Massif	88
13927	205976	820.0	6.767353	45.931385	125391	Lilas3		2024-03-28	2024	3	Feuillaison	10.0		Mont-Blanc Massif	88
16374	206102	1000.0	6.799657	45.892372	105042	Meleze_table		2024-04-10	2024	4	Feuillaison	10.0		Mont-Blanc Massif	101
11482	206119	1070.0	6.8708	45.9314	85903	Bouleau verruqueux 2	bouleau	2024-04-05	2024	4	Débourrement	10.0		Mont-Blanc Massif	96
11482	206120	1070.0	6.8708	45.9314	85903	Bouleau verruqueux 2	bouleau	2024-04-10	2024	4	Feuillaison	10.0		Mont-Blanc Massif	101
14008	206121	1041.0	6.872565	45.929543	98921	Frene5	frêne	2024-04-06	2024	4	Floraison	10.0		Mont-Blanc Massif	97
13224	206125	1077.0	6.8704	45.9314	85903	bouleau verruqueux 5	bouleau	2024-04-05	2024	4	Débourrement	10.0		Mont-Blanc Massif	96
16132	206127	1060.0	6.89869	45.950702	85903	Bouleau verruqueux 4	bouleau	2024-04-04	2024	4	Débourrement	10.0		Mont-Blanc Massif	95
